When was Shakespeare baptized?	April 26, 1564
"Which tale is NOT part of ""From the Four Winds""?"	The Apple Tree
What is the title of the tale that introduces the character Swithin Forsyte?	Salvation of Forsyte
"""Simple Tale"" was published in which year?"	1914
"How many tales are included in the collection ""The Five Tales""?"	Five
"What is the epigraph for ""The First and the Last""?"	"""So the last shall be first, and the first last."" (Holy Writ)"
"Which tale from ""The Five Tales"" was published in 1916?"	Apple Tree
"What is the epigraph for ""Indian Summer of A Forsyte""?"	"""And summer's lease hath all too short a date."" (Shakespeare's ""Sonnet Number 18"")"
"""Tatterdemalion"" was published in which year?"	1920
"Which story is part of ""Part I - Of War Time"" in ""Tatterdemalion""?"	The Grey Angle
"Which story is part of ""Part II - Of Peace Time"" in ""Tatterdemalion""?"	Spindleberries
"Which story from ""Part I - Of War Time"" in ""Tatterdemalion"" involves a soldier?"	The Recruit
"""Captures"" is a collection of:"	Short stories
"Which tale from ""From the Four Winds"" is about a man named Dick Denver?"	Dick Denver's Idea
"Which tale from ""The Five Tales"" features a juryman?"	The Juryman
"""The Peace Meeting"" is part of which collection?"	Tatterdemalion
"Which tale from ""From the Four Winds"" involves a spiritual element?"	The Spirit of the Karoo
"Which tale from ""Tatterdemalion"" has a title suggesting a fantastical theme?"	Fairyland
"Which tale from ""From the Four Winds"" features a capitulation?"	The Capitulation of Jean Jacques
"""Buttercup-Night"" is part of which section in ""Tatterdemalion""?"	Part II - Of Peace Time
"Which tale from ""From the Four Winds"" involves an element of praise?"	A Praise Oyester
"Which tale from ""Tatterdemalion"" has a title suggesting an optimistic outlook?"	The Bright Side
"Which story in ""Tatterdemalion"" discusses a theme of heritage?"	Heritage (An Impression)
"""The Muffled Ship"" is part of which collection?"	Tatterdemalion
"In which year was ""Abracadabra and Other Satires"" published?"	1924
"Which story is not a part of ""Abracadabra and Other Satires""?"	The Apple Tree
"How many stories are included in ""Caravan: The Assembled Tales of John Galsworthy""?"	56
"Which of the following stories is featured in ""Caravan""?"	The Dog It Was That Dies
"What is the alternate title for ""On Forsyte Change"" republished in 1986?"	Uncollected Forsyte
"Which event is described in the story ""Aunt Juley's Courtship""?"	1855
"Which story is not included in ""Forsytes, Pendyces and Others""?"	The Grey Angel
What is the title of John Galsworthy's first book of poetry?	Moods, Songs, and Doggerels
"In which year was ""Addresses in America"" published?"	1919
"""Two Essays on Conrad"" includes a contribution from which other author?"	Richard Curle
"Which of the following is a story from ""Abracadabra and Other Satires""?"	Grotesque
"""A Simple Tale"" is featured in which collection by John Galsworthy?"	Abracadabra and Other Satires
"Which of the following is not included in ""Caravan""?"	On Forsyte Change
In which story do we find the character Tweetyman?	The Sorrows of Tweetyman
Which story is dedicated to H. Vincet Marrot?	The Buckles of Superior Dosset, 182-63
"Which event does ""The Hondekoeter, 1880"" describe?"	An art acquisition
"Which of the following is part of ""Forsytes, Pendyces and Others""?"	Homage to Anatole France
"""The Mummy"" belongs to which collection?"	Forsytes, Pendyces and Others
Which of the following is a poem by John Galsworthy?	The Bells of Peace
"""Forty Poems"" was published in which year?"	1932
"The essay ""Tribute to Conrad"" is included in which collection?"	Candelebra: Selected Essays and Addresses
"What was the main topic of the essay ""Addresses in America""?"	Galsworthy's speeches given in America
"Which essay is included in ""The Inn of Tranquillity: Studies and Essays""?"	About Censorship
"What is the focus of the essay ""Vague Thoughts on Art""?"	Philosophical reflections on art
"Which story is part of ""Concerning Life (Part 1)"" in ""The Inn of Tranquillity: Studies and Essays""?"	Magpie Over the Hill
"In which part of ""The Inn of Tranquillity: Studies and Essays"" does the story ""Quality"" appear?"	Concerning Life (Part 2)
"Which topic is not covered in ""The Inn of Tranquillity: Studies and Essays""?"	The Spirit of Punishment
"In which year was ""A Justification of the Censorship of Plays"" published?"	1909
"What is the main subject of ""Horses in Mines""?"	The ethical treatment of horses in mines
Which work addresses the issue of animal slaughter for food?	The Slaughter of Animals for Food
"""Some Slings and Arrows from John Galsworthy"" was published in which year?"	1914
"Which essay was reprinted from ""The Nation""?"	Gentles, Let Us Rest!: A Paper on the Position of Women
"In which year was ""The Land: A Plea"" published?"	1918
Which lecture focuses on the way to prepare peace?	The Way to Prepare Peace
"""Literature and Life"" was delivered in which year?"	1931
"Who edited ""Letters from John Galsworthy (1900-1932)""?"	Edward Garnett
"""Galsworthy's Letters to Leon Lion"" was published in which year?"	1968
"Who coined the term ‘roman fleuve' which describes a type of novel cycle like ""The Forsyte Saga""?"	Romain Rolland
"When was the first novel ""The Man of Property"" of ""The Forsyte Saga"" published?"	1906
"Which novel followed ""The Man of Property"" in ""The Forsyte Saga""?"	In Chancery
"How many interludes are included in ""The Forsyte Saga""?"	2
"Which interlude in ""The Forsyte Saga"" was written in 1918?"	Indian Summer of a Forsyte
"What trilogy followed ""The Forsyte Saga""?"	A Modern Comedy
"Which novel is not part of the ""A Modern Comedy"" trilogy?"	Over the River
"What is the name of the short story collection that deals with the older Forsytes before ""The Man of Property""?"	On Forsyte Change
"In which year was ""On Forsyte Change"" republished as ""Uncollected Forsyte""?"	1986
"Which novel is the first in the ""End of the Chapter"" trilogy?"	Maid in Waiting
"Who published the sequel to ""The Forsyte Saga"" in 1994?"	Sulekha Dawson
"What is the main focus of ""The Forsyte Saga""?"	The declining fortunes of three generations of a British middle-class family
"Which character from “The Man of Property"" represents the old England with shrewd entrepreneurial virtues and sexual hypocrisy?"	Soames Forsyte
In which short story does Galsworthy introduce the character Swithin Forsyte?	The Salvation of a Forsyte
Which novel series presents a scathing criticism of the upper middle classes and their materialism?	The Forsyte Saga
"Who is the main character in Sulekha Dawson's sequel to ""The Forsyte Saga""?"	Fleur, now Lady Mont
"Which historical event does Soames witness with his second wife in ""The Forsyte Saga""?"	The funeral of Queen Victoria
"How does Galsworthy describe the transformation of England in ""The Forsyte Saga""?"	The fusion of nobility and plutocracy
"Who is the protagonist of ""The Man of Property""?"	Soames Forsyte
"What is the relationship between Soames Forsyte and Irene in ""The Man of Property""?"	Husband and wife
Who did Soames commission to build a house at Robin Hill as a wedding gift for Irene?	Phillip Bosinney
"What is the outcome for Phillip Bosinney in ""The Man of Property""?"	He dies in a car accident
How does Soames regard Irene in the novel?	As property
"What is the epigraph of ""Indian Summer of a Forsyte""?"	"""And Summer's lease hath all too short a date."" (Sonnet 18, Shakespeare)"
Who does Old Jolyon leave £ 15,000 to in his will?	Irene
What business did Old Jolyon make his fortune in?	Tea business
"What is the epigraph of ""In Chancery""?"	"""Two households both alike in dignity,from ancient grudge, break into new mutiny"" (Romeo and Juliet, Shakespeare)"
"To whom is ""In Chancery"" dedicated?"	Jessie and Joseph Conrad
"Which character is born at the end of ""In Chancery""?"	Fleur Forsyte
"Why does Soames decide to divorce Irene in ""In Chancery""?"	He wants to marry Annette Lamotte
"To whom is ""Awakening"" dedicated?"	Charles Scribner
Who are the parents of Jon Forsyte?	Young Jolyon and Irene
"What does ""Awakening"" depict?"	The early life of Jon Forsyte
"What is the epigraph of ""To Let""?"	"""From out the fatal loins of those two foes / A pair of star crossed lovers take their life."" (Romeo and Juliet, Shakespeare)"
"To whom is ""To Let"" dedicated?"	Charles Scribner
Where do Fleur and Jon meet and fall in love?	In an art gallery
Why does Jon break off his engagement to Fleur?	He learns of his mother's past from Jolyon
"What happens to Jolyon in ""To Let""?"	He dies of a heart attack
Who does Fleur marry after breaking up with Jon?	Michael Mont
"What does Soames discover about his wife Annette in ""To Let""?"	She is having an affair with a Belgian
"In which year was ""A Modern Comedy"" published?"	1929
"Which book in ""A Modern Comedy"" features a painting of a white monkey?"	The White Monkey
What characteristic does Soames see in the painting of the white monkey?	Human-like eyes symbolizing a modern man
"Who makes advances towards Fleur in ""The White Monkey""?"	Wilfrid Desert
"What is Michael Mont nominated for in ""The Silver Spoon""?"	A Conservative Party seat in Parliament
What does the plan for social reform called Foggartism likely satirize?	Fabian socialism
"Who attacks Fleur's celebrity-chasing in ""The Silver Spoon""?"	Marjorie Ferrar
"What happens at the end of ""The Silver Spoon""?"	Fleur wins a defamation case and goes ona round-the-world trip
"In which year is ""Swan Song"" set?"	1926
"What major event occurs in ""Swan Song""?"	The general strike
What does Michael convince Fleur to do during the strike?	Open a canteen for strike-breaking volunteer railway workers
Who does Jon Forsyte bring back to England with him?	His mother Irene and his wife
What happens between Jon and Fleur at Robin Hill?	Fleur seduces Jon
"How does Soames die in ""Swan Song""?"	Saving people from a fire in his art gallery
"Who is the central figure of the trilogy ""End of the Chapter""?"	Dinny Charwell
What is the relationship between the Forsytes and the Charwells?	They are rural cousins
"In which year is ""Maid in Waiting"" set?"	1928
"Who is charged with murder in ""Maid in Waiting""?"	Captain Herbert Charwell
How does Dinny save her brother Herbert?	By proving it was self-defense
"Who does Dinny meet and fall in love with in ""Flowering Wilderness""?"	Wilfrid Desert
Why was Wilfrid Desert excommunicated?	For converting to Islam
"In which year is ""Over the River"" set?"	1931
"Who faces domestic violence in ""Over the River""?"	Clare Charwell
Who does Clare meet on the ship to England?	Tony Croom
"What happens to Wilfrid Desert in ""Over the River""?"	He drowns in Siam
Who does Dinny marry after recovering from her illness?	Eustace
"Who is the protagonist of ""The Forsyte Saga"" known for regarding his wife as a valuable possession?"	Soames Forsyte
Who is Irene Forsyte initially known as before her marriage?	Heron
How is Fleur Forsyte related to Soames Forsyte?	Daughter
Who was June Forsyte engaged to?	Phillip Bosinney
Which character is a French Soho restaurant owner ’s daughter?	Annette Forsyte
Who is the mother of Jolly and Holly Forsyte?	Helen Forsyte
What are John Galsworthy ’ s plays often called?	Problem plays
Which collection of essays contains Galsworthy ’s ideas on drama?	The Inn of Tranquillity
"What pseudonym did Galsworthy use to publish ""From the Four Winds"" and other early works?"	John Sinjohn
What was Galsworthy's first full-length novel?	Jocelyn
Which novel reflects Galsworthy ’ s impressions of slum life while collecting rents for his father’s firm?	Island Pharisees
"In ""The Country House,"" who is the woman George Pendyce falls in love with?"	Helen Bellew
"Who promoted and shaped the story of ""Villa Rubein""?"	Edward Garnett
Which novel deals with an English gentleman criticising national surroundings with the help of a Belgian vagabond?	Island Pharisees
Who is the daughter of young Jolyon from his first wife Francer?	June Forsyte
"In which year did John Galsworthy's play ""The Silver Box"" premiere in London?"	1906
"What is the central theme of ""The Silver Box""?"	The double standard of justice
"In ""The Silver Box,"" what item is stolen that triggers the events of the play?"	A silver cigarette box
"Where does the majority of the action in ""The Silver Box"" take place?"	A dining room in John Barthwick's house
"Who is reported to have stolen the silver box in ""The Silver Box""?"	A rich young man
"In which year was ""Justice"" by John Galsworthy first performed?"	1910
"What social issue does ""Justice"" primarily address?"	Solitary confinement
"Who attended an early performance of ""Justice"" and was influenced to pursue prison reform?"	Winston Churchill
"What crime does the protagonist, William Falder, commit in ""Justice""?"	Theft
"What is the outcome for William Falder in ""Justice""?"	He commits suicide in prison
"What does Ruth Honeywell represent in the play ""Justice""?"	Falder's sweetheart
"Which scene in ""Justice"" is known for its powerful depiction of the protagonist's agony in solitary confinement?"	Act III Scene III
"What does the 'mute scene’ in ""Justice"" aim to evoke in the audience?"	Pity and fear
"What phrase does Cokeson say at the end of ""Justice""?"	No one will touch him now! Never again! He is safe with gentle Jesus!
"When does the first act of ""Pigeon: A Fantasy in Three Acts"" take place?"	Christmas Eve
What kind of person is the protagonist Christopher Welwyn?	Gullible and kind-hearted
"What is the epigraph of ""Skin Game: A Tragi- comedy""?"	Who touches pitch shall be defiled.
"What major social issue does ""Skin Game: A Tragi- comedy"" address?"	Class struggle
"""Burning Spear"" is a modernisation of which classic work?"	Don Quixote
What does John Lavender decide to do after being inspired by wartime editorials?	Become a public figure and lecture the population
"What does ""The Mob"" express about Galsworthy's experience of the First World War?"	The madness of the war-hungry masses
"When does the action of ""Foundations: an Extravagant Play"" take place?"	After the Great War
"What is the epigraph of ""Tatterdemalion""?"	"""Gentillesse cometh from' God alone."" (Chaucer)"
"How is ""Tatterdemalion"" divided?"	Two parts: Of War Time and Of Peace Time
"What social issue does ""Loyalties"" attack?"	Anti-Semitism
"Where was ""Loyalties"" staged?"	The St. Martins Theatre
"What is the main theme of ""Fraternity""?"	The unfulfilled martyr of social conscience
"Who is the central character of ""Fraternity""?"	A middle-aged novelist
"What does Mr. Stone represent in ""Fraternity""?"	The utopian dreamer
"What does Christopher Welwyn acknowledge about himself in ""Pigeon: A Fantasy in Three Acts""?"	"He is a ""sloppy sentimentalist"""
"Which two families are in conflict in ""Skin Game: A Tragi-comedy""?"	The Hilcrests and the Hornblowers
"What is the main theme of ""Skin Game: A Tragi- comedy""?"	The clash between old aristocracy and new wealth
"Who accompanies John Lavender on his journey in ""Burning Spear""?"	His valet, Joe
"What mode of transportation does John Lavender use in ""Burning Spear""?"	A coal gas car
"What is the central theme of ""The Mob""?"	The madness and irrationality of war- hungry masses
"What role does the unknown lady play in ""Foundations: an Extravagant Play""?"	A prostitute
"To whom is ""Tatterdemalion"" dedicated?"	Elizabeth Lucas
"What is the overall theme of the short stories in ""Tatterdemalion""?"	The horrors of war and the peace time recovery
"Whois the victim of the robbery in ""Loyalties""?"	Arich Jew
"What does ""Loyalties"" primarily attack?"	Class prejudices and anti-Semitism
"What societal issue is highlighted in ""Fraternity""?"	The hypocrisy of social conventions
"What prevents the middle-aged novelist in ""Fraternity"" from committing to the young woman from the slums?"	Fear of societal disapproval
"What event triggers the action in ""Strife: A Drama in Three Acts""?"	A strike at the Trenartha Tin Plate Works
"Where is the setting of ""Strife""?"	The borders of England and Wales
"""The Dark Flower"" is divided into how many parts?"	Three
"What seasons are represented in ""The Dark Flower""?"	Spring, Summer, and Autumn
"What is the epigraph of ""Beyond""?"	"""Che faro senza!"" (Thomas Hardy)"
"Who is the unhappily married woman in ""Beyond""?"	A Swedish violinist ’ s wife
"When was ""The Eldest Son"" performed?"	1912
"What is the central theme of ""The Eldest Son""?"	Young men taking responsibility for their actions
"How many episodes are in ""Escape""?"	Nine
"Who is the protagonist in ""Escape""?"	Captain Matt Denant
"Where does the action of ""Joy: A Play on the Letter 'T'"" take place?"	A lawn at Colonel Hope's house
"What does ""The Country House"" analyze?"	The traditional authority of the squire
"What is the main theme of ""The Patrician""?"	The clash between love and duty
"What does the epigraph of ""The Freelands"" signify?"	The battle for liberty
"What type of work is ""Memories""?"	A biography
"Who is the subject of ""Memories""?"	A spaniel dog named Chris
"How is ""The Apple-Tree"" structured?"	In three parts
"What is ""The Land: A Plea"" about?"	Better utilization of land for national security
"What does ""Quality"" depict?"	A craftsman's struggle against a big company
"What is unique about ""Saint's Progress""?"	It is Galsworthy's only novel to deal directly with World War I
"Who said, ""No living English writer, not D. H. Lawrence, nor H. G. Wells, nor E. M. Forster, nor Virginia Woolf, had the prestige, the power, and the public he had"" at the time of Galsworthy's death?"	Sanford Sternlicht
How did David Daiches describe John Galsworthy?	The last of the Victorian novelists
"Who said, ""The book has the elements of a very great novel, a very great satire""?"	D. H. Lawrence
"What did D. H. Lawrence call Galsworthy's ""A Little Dream""?"	"Rather good"" though ""a bit mechanical"
"Who praised ""Strife"" as ""one of the most strenuous and remarkable dramas of modern times""?"	A. E. Wilson
What was D. H. Lawrence's opinion about following in the footsteps of Galsworthy and other writers?	We have to hate our immediate predecessors, to get free from their authority
"In his preface to ""Touch and Go,"" how did D. H. Lawrence describe the characters of ""Strife""?"	Rather bony, bloodless drama
"What did Lawrence say about the ""Strike situation"" in ""Plays (1999)""?"	A sort of Medusa head, which turns us, not to stone, but to sloppy treacle
"How did Lawrence describe Galsworthy's novels in ""Study of Thomas Hardy and Other Essays""?"	Nothing but Forsyte [...] all absolutely determined by money
"What did Lawrence say about the characters in Galsworthy's novels in ""Study of Thomas Hardy and Other Essays""?"	Those who fear life because they are not alive, and who cannot die because they cannot live
According to David Ellis, what do the characters of Galsworthy confirm through their rebellion?	That money is the controlling principle
"What did Lawrence say about the books of Galsworthy and Sir James Barrie in ""Pornography and Obscenity""?"	Far more pornographical than the liveliest story in the Decameron
"Who wrote, ""Galsworthy died two days ago, it suddenly struck me, walking just now by the Serpentine""?"	Virginia Woolf
"Who referred to Galsworthy as ""dear old out-of- date Galsworthy""?"	D. H. Lawrence
"Which author accused Galsworthy of being a ""materialist"" in ""Modern Fiction"" (1919)?"	Virginia Woolf
"Who said, ""Shaw cannot really divide his mind and let the two parts speak independently. If we want to see a fair artistic balance between two opposite views, we must go to Ibsen or Galsworthy""?"	Chesterton
"Who commented that Galsworthy's presentation is often ""warmed and coloured by an additional emotional element""?"	A.C. Ward
"Who praised Galsworthy's characters as ""well- studied"" with ""psychological insight""?"	Albert
"Who described the Forsytes as ""so encrusted with property that they are only half alive""?"	Walter Allen
"Who coined the phrase ""Galsworthy-and-water stuff"" to describe the average novel?"	George Orwell
"In which essay did George Orwell mention ""Galsworthy-and-water stuff""?"	Bookshop Memories
"Who said that Galsworthy's work leaves behind ""a rather unwholesome atmosphere of exaggeration and pity""?"	George Orwell
Who compared the episode of George Pendyce and Helen Bellew to a scientist studying a germ culture?	F. T. Cooper
"Which work contains the quotation: ""Life calls the tune, we dance""?"	Justice
"In which work does the following quote appear: ""It was such a spring day as breathes into a man an ineffable yearning, a painful sweetness, a longing that makes him stand motionless, looking at the leaves or grass, and fling out his arms to embrace he knows not what""?"	The Forsyte Saga
"Where can you find the quote: ""Love is not a hot- house flower, but a wild plant, born of a wet night, born of an hour of sunshine; sprung from wild seed, blown along the road by a wild wind""?"	The Forsyte Saga
"Which work contains the following quote: ""The biggest tragedy of life is the utter impossibility to change what you have done""?"	Studies and Essays
"In which work does this quote appear: ""Idealism increases in direct proportion to one's distance from the problem""?"	Strife
"Where can you find the quotation: ""Love has no age, no limit; and no death""?"	The Patrician
"Which work contains the following quote: ""Not the least hard thing to bear when they go from us, these quiet friends, is that they carry away with them so many years of our own lives""?"	Studies and Essays
"In which work does the quote: ""The beginnings and endings of all human undertakings are untidy"" appear?"	Loyalties
"Where can you find the quotation: ""Dreaming is the poetry of Life, and we must be forgiven if we indulge init a little""?"	Five Speeches to P.E.N. Clubs and a Letter
"Which work contains the following quote: ""He might wish and wish and never get it the beauty and the loving in the world""?"	The Forsyte Saga
"In which work does the quote: ""Youth to youth, like the dragon-flies chasing each other, and love like the sun warming them through and through"" appear?"	The Forsyte Saga
"Which work contains the quotation: ""It's always worthwhile before you do anything to consider whether it's going to hurt another person more than is absolutely necessary""?"	The Forsyte Saga
"In which work does the following quote appear: ""Men are in fact, quite unable to control their own inventions; they at best develop adaptability to the new conditions those inventions create""?"	The Forsyte Saga
"Where can you find the quote: ""An epoch which had gilded individual liberty so that if a man had money he was free in law and fact, and if he had not money he was free in law and not in fact""?"	The Forsyte Saga
"Which work contains the following quote: ""Light- heartedness always made Soames suspicious for it."" there was generally some reason?"	The White Monkey
"In which work does this quote appear: ""And yet, in books were comfort and diversion; and they were wanted!""?"	The White Monkey
"Where can you find the quotation: ""She stood for a moment looking up at the stars, so far, so many, bright and cold. And with a faint smile she thought: 'I wonder which is my lucky star!""?"	Flowering Wilderness
"Which work contains the following quote: ""Politics are popularly supposed to govern the direction, and statesmen to be the guardian angels, of Civilization. It seems to me that they have little or no power over its growth""?"	Candelabra: Selected Essays and Addresses
"In which work does this quote appear: ""Memory heaps dead leaves on corpse-like deeds, from under which they do but vaguely offend the sense""?"	The Forsyte Saga
"Where can you find the quotation: ""In choosing, moreover, for his father an amiable man of fifty-two, who had already lost an only son, and for his mother a woman of thirty-eight, whose first and only child he was, little Jon had done well and wisely""?"	The Forsyte Saga
"Which work contains the following quote: ""Really,"" said Winifred suddenly; ""it almost seems like Fate. Only that's so old-fashioned""?"	The Forsyte Saga
"Which work contains the quotation: ""Justice is a machine that, when someone has once given it the starting push, rolls on of itself""?"	Justice
"In which work does the following quote appear: ""That tendency to lie awake between the hours of two and four, when the chrysalis of faint misgiving becomes so readily the butterfly of panic""?"	The White Monkey
"Where can you find the quote: ""I am, still under the impression that there is nothing alive quite so beautiful as a thoroughbred horse""?"	Glimpses and Reflections
"Which work contains the following quote: ""The Forsytes were resentful of something, not individually, but as a family; this resentment expressed itself in an added perfection of raiment, an exuberance of family cordiality, an exaggeration of family importance, and the sniff""?"	The Forsyte Saga: A Man of Property
"In which work does this quote appear: ""To take life"", went on the old man in a voice which, though charged with strong emotion, seemed to be speaking to itself, ""was the chief mark of the insensate barbarism still prevailing in those days""?"	Fraternity
"Where can you find the quotation: ""When Man evolved Pity, he did a queer thing - deprived himself of the power of living life as it is without wishing it to become something different""?"	Letter to Thomas Hardy
"Which work contains the following quote: ""Life was to be lived not torpidly dozed through in this queer cultured place, where age was in the blood! Life was for love to be enjoyed!""?"	The Dark Flower
"In which work does the quote: ""Only love makes fruitful the soul. The sense of form that both had in such high degree prevented much demonstration"" appear?"	Beyond
"Which work contains the quotation: ""Love of beauty is really only the sex instinct, which nothing but complete union satisfies""?"	Saint's Progress
"In which work does the following quote appear: ""Summer summer summer! The soundless footsteps on the grass!""?"	Indian Summer of a Forsyte
"Where can you find the quote: ""I don't know much about morality and that, but there is this: It's always worth while before you do anything to consider whether it's going to hurt another person more than is absolutely necessary""?"	The Forsyte Saga: In Chancery
"Which work contains the following quote: ""Public opinion's always in advance of the law""?"	Windows, Act I
"In which work does this quote appear: ""The value of a sentiment is the amount of sacrifice you are prepared to make for it""?"	Windows, Act II
"Where can you find the quotation: ""Looking back on the long-stretched-out body of one's work, it is interesting to mark the endless duel fought within a man between the emotional and critical sides of his nature""?"	Preface to Villa Rubein and Other Stories
"Which work contains the following quote: ""A man of action forced into a state of thought is unhappy until he can get out of it""?"	Maid in Waiting
"In which work does the quote: ""There's just one rule for politicians all over the world: Don't say in Power what you say in Opposition; if you do, you only have to carry out what the other fellows have found impossible"" appear?"	Maid in Waiting
"Where can you find the quotation: ""One's eyes are what one is, one's mouth is what one becomes""?"	Flowering Wilderness
"Which work contains the following quote: ""There are things worth being loyal to, surely. Coffee, for instance, or one's religion""?"	Flowering Wilderness
"In which work does the quote: ""Art is the one form of human energy in the whole world, which really works for union, and destroys the barriers between man and man"" appear?"	Studies and Essays, Vague Thoughts On Art
"Which work contains the quotation: ""Only love makes fruitful the soul""?"	Beyond
"In which work does the following quote appear: ""If you do not think about the future, you cannot have one""?"	Swan Song
"Where can you find the quote: ""The world's a fine place for those who go out to take it; there's lots of unknown stuff in it yet""?"	A Man of Devon
"Which work contains the following quote: ""There are moments when Nature reveals the passion hidden beneath the careless calm of her ordinary moods""?"	The Forsyte Saga
"In which work does this quote appear: ""Early morning does not mince words""?"	The Forsyte Saga
"Where can you find the quotation: ""It is an age of stir and change, a season of new wine and old bottles""?"	Vague Thoughts on Art
"Which work contains the following quote: ""May night had fallen soft and warm, enwrapping with its grape-bloom colour and its scents the billion caprices, intrigues, passions, longings, and regrets of men and women""?"	The Forsyte Saga
"In which work does the quote: ""It isn't enough to love people because they're good to you, or because in some way or other you're going to get something by it. We have to love because we love loving"" appear?"	A Bit O' Love
"Where can you find the quotation: ""Beauty means this to one person, perhaps, and that to another. And yet when any one of us has seen or heard or read that which to him is beautiful, he has known an emotion which is in every case the same in kind, if not in degree""?"	Candelabra
"Which work contains the following quote: ""Only out of stir and change is born new salvation. To deny that is to deny belief in man, to turn our backs on courage""?"	Vague Thoughts on Art
"Which work contains the quotation: ""Dawn has power to fertilise the most matter-of-fact vision""?"	The Forsyte Saga
"In which work does the following quote appear: ""He is but a poor philosopher who holds a view so narrow as to exclude forms not to his personal taste""?"	Vague Thoughts on Art
"Where can you find the quote: ""Society is built on marriage... marriage and its consequences""?"	The Forsyte Saga
"Which work contains the following quote: ""Where Beauty was, nothing ever ran quite straight, which, no doubt, was why so many people looked on it as immoral""?"	The Forsyte Saga
"In which work does this quote appear: ""It was such a spring day as breathes into a man an ineffable yearning, a painful sweetness, a longing that makes him stand motionless, looking at the leaves or grass, and fling out his arms to embrace he knows not what""?"	The Forsyte Saga
"Where can you find the quotation: ""Love could never come to full fruition till it was destroyed""?"	Fraternity
"Which work contains the following quote: ""It is not good enough to spend a time and ink in describing the penultimate sensations and physical movements of people getting into a state of rut, we all know them so well""?"	Letter to Edward Garnett about DH Lawrence's Sons and Lovers
"In which work does the quote: ""It isn't enough to love people because they're good to you, or because in some way or other you're going to get something by it. We have to love because we love loving"" appear?"	Bit of Love
"Where can you find the quotation: ""The beginnings and endings of all human undertakings are untidy, the building of a house, the writing of novel, the demolition of the bridge, and, eminently, the finish of a voyage""?"	Over the River
"Which work contains the following quote: ""Religion was nearly dead because there was no longer real belief in future life; but something was struggling to take its place service - social service the ant's creed, the bees' creed""?"	Over the River
"In which work does the quote: ""Everything known before it happens; the headlines twice the size of the events"" appear?"	Over the River
"Where can you find the quotation: ""How to save the old that's worth saving, whether in landscape, houses, manners, institutions, or human type, is one of the greatest problems, and the one that we bother least about""?"	Over the River
"Which work contains the following quote: ""Naturalistic art is like steady lamp, held up from time to time, in whole light things will be seen to a space; clearly and in due proportion, freed from the mists of prejudice or partisanship""?"	On Some Platitudes Concerning Drama
What is the structure of a Shakespearean sonnet?	Three quatrains and a couplet
How many sonnets did Shakespeare write?	154
Who printed Shakespeare's sonnets in ‘quarto’ form?	Thomas Thorpe
In what year were Shakespeare's sonnets printed?	1609
How are Shakespearean sonnets typically titled?	By the first line or number
Whois believed to be the 'Mr. WH' mentioned in the dedication of the sonnets?	Henry Wriothesly
Which sonnet is known to have 15 lines?	Sonnet 99
What is unique about Sonnet 126?	It consists of six couplets and two blank verse
Who is the 'Fair Youth' addressed in the first 17 sonnets?	Unidentified young man
Which sonnets are addressed to the 'Dark Lady'?	Sonnets 127152
"Which two sonnets were previously published in ""Miscellany Poems'?"	Sonnet 138 and 144
How many additional sonnets did Shakespeare include in his plays?	Six
What was the name of the anthology published by William Jaggard in 1599?	The Passionate Pilgrims
How many poems in 'The Passionate Pilgrims’ were actually written by Shakespeare?	Five
"Which poem was dedicated as ""the first heir of my invention""?"	Venus and Adonis
Who was 'Venus and Adonis' dedicated to?	Henry Wriothesly
"In which publication was ""Phoenix and the Turtle"" included?"	Love's Martyr
How many stanzas does 'Venus and Adonis consist of?	199
What is the rhyme scheme of 'The Rape of Lucrece'?	ABABBCC
How many lines are there in 'The Rape of Lucrece'?	1855
Who published 'Venus and Adonis' and 'The Rape	Richard Field
What type of poem is 'A Lover's Complaint'?	Narrative poem
Which poem reflects the misery of a woman victimised by male desire?	A Lover's Complaint
How many stanzas are in 'A Lover's Complaint'?	47
What is the rhyme scheme of 'A Lover's	ABABBCC
Which sonnet is in iambic tetrameter?	Sonnet 145
Who are the Rival Poet sonnets addressed to?	Fair Youth
What is the main theme of the ‘procreation sonnets'?	Urging the youth to marry and have children
Which poem is considered an allegorical treatment of Greek epic games?	Sonnet 154
Who published Shakespeare's poems in 1640 along with The Passionate Pilgrims?	Ben Jonson
What is the origin of Shakespeare's 'fool' character?	Both AandB
How many of Shakespeare's plays feature clowns or fools?	22
What role do clowns or fools play in Shakespeare's dramas?	Both A andB
Who performed the fool's parts in Shakespeare's Company?	William Camp and Robert Armin
Which character is known as 'melancholy Jaques'?	Jaques
Which play features the character Autolycus?	The Winter's Tale
What is the role of Nick Bottom in A Midsummer Night's Dream?	Leader of the workmen
Who is the fool in King Lear?	The Fool
Which character is transformed into a donkeyheaded lover by Puck?	Nick Bottom.
What is the best quote from Touchstone in As You Like It?	The fool doth think he's wise, but the wise man knows himself to be a fool.
Which fool appears in The Merchant of Venice?	Launcelot Gobbo
In which play does Puck serve as a jester to Oberon?	A Midsummer Night's Dream
What role does the fool play in Timon of Athens?	Gullible or foolish character
"Who is known as “a fellow of infinite jest"" in Hamlet?"	Yorick
Who accompanies Rosalind and Celia in their flight to the forest of Arden?	Touchstone
What is Launcelot Gobbo's habit in The Merchant of Venice?	Malapropism.
Which character appears in Titus Andronicus?	Clown
